Text,LABEL,Category
"kaahe k pahalwaan bhai 
kyo itna nanga nach ncha rkha h 
Brijbhushan Nirdosh h",Normal Text,None
Modi ji... Yahi hai kya ache din? .. Please do something ğŸ™ğŸ¼,Hate Speech,Political Hate
Meri ma ki mati khabi jut nahi bolenge.ğŸ˜¢,Normal Text,None
Are sharm kro BC police walo humare Desh ke support player h vo chutiya logo mana apni duty kre ho pr tumko saath dena chayiye Inka ulta Inka saath dena chahiye jo tum inko ghaseet rhe ho BC pgl ho kya,Hate Speech,Violent Speech
"Gunda  agar dusri party ka ho to bjp ko wo hazam nhi hota air uspar action le te hai aur bjp apni party mai gundo ko pal rahi hai aur unko protect kar rahi hai 
Shame on bjp",Hate Speech,Political Hate
Satte cha maj janata utare modi sarakar,Hate Speech,Political Hate
"Inlog ne murder Kiya hai ky 
Modi jii ğŸ™ğŸ™ğŸ™",Hate Speech,Political Hate
Lion ... Loin hota hai,Normal Text,None
I love BJP but iss baar thuu hai,Hate Speech,Political Hate
A news koi tv news wala nahi dikya ..,Normal Text,None
"Wah kya din dikhadiye Modiji aapane toh, yahi neta agar congress ka hota toh, wrestlers agar commisioner ya neta ki beti hoti toh...naye Sansad ka inauguration jindagi bhar nahi bhulenge hum Bhartiya.",Hate Speech,Political Hate
"Ein jaise police karamchariyon ki fitrat hoti hai badmashi karne ki ! Kal raat Lucknow mein mujhe sirf der raat apne ghar ki taraf jaate samay do bike patrol beat constables ne rok liya aur sandigdh suchi mein naam, pataa aur phone number likh liya, Ye hai YOGI ADITYANATH ka BJP Sushasan ! Jab wrestlers se misbehave kar sakte hain BJP sanchalit Delhi Police tab aam insaanon se too kya hee aise Police karmi ache se pesh ayenge ?!  Ek baar janta ki ankhon se BJP bhakti ki patti utar jaaye, Phir dekho kya haal karte hain ! Har Har Mahadev ğŸ™ , Lal Salaam ğŸ“£ !!",Hate Speech,Caste-Based Hate
Muje lagta he  indian police and government  se achha Pakistan.... Bharat ajj dikh rhaa he jo medal dhari he uske samne e lukhe police sarkar usse daboch rahi he.... Wah,Hate Speech,Political Hate
Koi bhi desh apne mahaan khilaadiyo ka itna anaadar nahi kartağŸ˜¢. Andhbhakto ko badhaai is  kaam ke liyeğŸ˜¢.,Hate Speech,Political Hate
Wse to 1 wrestler itne police walo k control me nhi aa rhi n wse 1 aadmi ne in sabka rape kr diya,Normal Text,None
Ensaf hona chahiye sister log k sath,Normal Text,None
"Narendra modi jindabad tha, hain aur rahegağŸ˜‚ğŸ˜‚ğŸ¤£BS",Hate Speech,Political Hate
"Delhi ka CM kaha haa abhi, chunab ke phele too media samne akhe botle haa kii vote dee doo abhi kya haa kyu kuch nehi bol rahağŸ˜¢ğŸ˜¢",Normal Text,None
Ye bjp haa bhai logo yha sab kuch jaij haa galat ho ya sahi,Hate Speech,Political Hate
Toda toh respect kardo,Hate Speech,Violent Speech
"Abe wrestler ho toh kya sale kuch bhi karoge No enter Zone mein protest karoge chutiyapa ka bhi haad hota hai, India gate hai, bhaut sari public area hai tum log Ab medal kyn nhi fank rahe ho, BC Faltu ka Darma, Ab kal ko BC gun leke chalane lag jao ge aur chahte ho Police kuch na kare, Rules and regulations bhi hote hai sala ajeeb chutiya log hai. Jab harassed hue tab nhi bola gaya, 5-6 mahine baad yaad aya ? Bhai sab dikh raha hai Politics hai ye sab.

Edit: Parliament is not allowed for normal people to enter only authorised people can enter, and I can't believe in comments section people are so Illiterate they're actually supporting this bullishit, police should have arrested them.",Hate Speech,Abusive/Profane Speech
"Exactly bhai, they're entering a place where normal people are not allowed, and so many illiterate people are supporting this bullishit.",Normal Text,None
Court apne hisab se chalege,Normal Text,None
Desh ka MAN BADHANE VALE SPORTSMAN'S KE SATH AAISA KARNA BAHUT KYADA DUKHD AUR GALAT HAI VO DESH KE LIYE MEDAL LATE HAI BAHUT KUCH SACRIFICE KARTE HAI UNKE SATH AAISA BARTAV KARNA BAHUT GALAT HAIğŸ¤¬ğŸ¤¬ğŸ¤¬ğŸ¤¬ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡,Normal Text,None
Chutiya sehar ki chutiya public kabhi metro me to kabhi kahi lekin fir bhi unhe koi matlab nhi sala isse to accha mera village haiâ¤â¤,Hate Speech,Abusive/Profane Speech
Pucho is se isko Keya chahiye mahamari faili padi hai Keya hasil karna chahti hai kisi ko kuch nahi hasil Ak ğŸ”±,Hate Speech,Violent Speech
"Isliye talented log india chhod jaa rhe hai kuonki indua ko talent ki kadar nahi
Bitter truthğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢",Normal Text,None
Ye police ayse q kar rhi h,Normal Text,None
Wrestking match,Normal Text,None
KAHAN HAI AMIR KHAN .KAHAN HAI SACHIN .KAHAN HAI AMITAB BACHAN ..KAHAN HAI AKSHAY KUMAR..KAHAN HAI SAB ..SUPERSTAR .,Hate Speech,Violent Speech
"Agar koi minister protest krta, kya usko kabhi aise utha kar le jate, shame on authorities",Normal Text,None
Bahoot ho gaya abb Saha nai jata government agar Aisa kar skti hai to BC nahi chiye aisi government ğŸ˜¡ğŸ˜¡ğŸ˜¡,Normal Text,None
SHARAM AATI HAI MUJEH THAT I HAVE TO SEE THIS INDIA IS DESTROYED BY BJP PARTY,Hate Speech,Political Hate
Bahut galat hai modi jee sare achhaye ab kharab ho gaye,Hate Speech,Political Hate
Itni Sena Desh wasiyon pe zulm kar rahi hai aur phir bhi India sirf dekh Raha hai ....,Normal Text,None
"Study karoge to Noukri Khatreme 
Achaa kuch karoge to life khatreme 
Phir bhi dil hai Hindustani 
Phir bhi Dil hai Hindustani",Hate Speech,Religious Hate
Ye insan hain ya janwar...humare champions ki itni durdasha..pm modi abhi kr kya raha hain,Hate Speech,Political Hate
Narendra Modi sarm kro,Hate Speech,Political Hate
"SAB LOG DEKHO AUR SIKHO....
AB NARENDRA MODI KO BHAGAO",Hate Speech,Political Hate
"INDIA Ke asse growth hogi tho naa  he ho,ladkiyo keliye kaha par bhee rahana easy nahi he.shame on Indian goverment.",Hate Speech,Gender-Based Hate
Badhya natak chal raha hai.,Normal Text,None
Kl ko inke sath ek photo k liye line mei khade hote the aj Inka saath aesa ho Raha hai bhot afsos hora hai,Normal Text,None
Bjp sarkar nikalo,Hate Speech,Political Hate
Kha gya mere desh ka issjat samra  kro,Normal Text,None
"ğŸ˜ ğŸ˜ ğŸ˜ so how treat a sportsman, they fight for our country they struggle for our country, maidan main khun pasina ek krte hai 
So this is india",Normal Text,None
"Chalo agar wo naye president ki hi mang kar rhe hai to kya ho gya wo insaan to waise bhi pad par hai na to kyo ni Maan li jaati inki mange jinhone duniya me India ka Maan badaya hai unke liye goverment itna bhi ni kar skti kya 
Same on you bjp goverment",Hate Speech,Caste-Based Hate
Chootiya bjp sarkar,Hate Speech,Political Hate
Bahoot he shark nak haii,Normal Text,None
"ye wrestler backcodi kar rahe hai, mar ke bhagao, apko ijjat hai to rule follow karo, agar cour ne kaha hai tume hatene ko to hato, sab huha Modi se hua ab ye mat kahana Sexual harrasment bhi Modi ne ki, yar kuch to logic se loo. Court hai yaha kyu rasto pe bachodi kar rahe ho.",Hate Speech,Political Hate
chiii ğŸ˜¢ aasa kon karta hai bhai kise k sath,Normal Text,None
Saala Inn police waalon se chorr teekh se pakda nhi jaata Aam aadmi  jo mehnat karr ke khaate hai unn loggon ka uper Aatyachaar karte hai sabko naukaari se nikalna chayiha ğŸ˜¡ğŸ˜¡ğŸ˜¡,Hate Speech,Caste-Based Hate
"BJP hai to mumkin hai

Ab andhbhkat ni nahi dikhege door door",Hate Speech,Political Hate
Even the God for which you did Pooja in new parliment will not forgive for this. Karma will be boomerang. Please Remember that.,Normal Text,None
Jisne desh k liye medals laaye unke saath aisa horaha h ..hamare saath kya hogağŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢,Hate Speech,Violent Speech
Modi sahab ki kripa anant hai bhaioooo gujrati ko sirf paise se matlab hai itihas uthalo military mein kitne percent hai yeh log ... Ek gujrati ko shaheed kaum ke siro per bitha diya bc,Hate Speech,Political Hate
@Haseena sabreen Mahammad Well said,Normal Text,None
"Neither bjp supporter nor Congress supporters brij bhushan has 38 charges against him intimating, kidnapping, attempt to murder etc and if he is able to get free from this many charges bjp is supporting & protecting him hard . If wrestlers do FIR what's going to happen when even after 38 charges he is out of jail , if protest this going to happen bro literally this country either see bjp rule or Congress rule nothing else at least keep some dignity in fakness also each political party",Hate Speech,Political Hate
"Ben ka loda modi kaha gaya , ab kaha h yogi ka buldozer kanoon sirf gareebo k liye h kya",Hate Speech,Political Hate
Shame on indian government ye bhi kse ke batiya hai is country se belong kerna hi crime hai,Normal Text,None
Gold Medalist k saath aisa salook ğŸ˜¢ yehi ijjat milni thi to kyu laye Gold India k liye ğŸ˜­,Normal Text,None
If your country is run by a cow and u believe the mootar helps then good luck to you guys raaam is really doing wonders mate,Normal Text,None
Vagwan kre is police walo ki ghar se koi mar jaye,Hate Speech,Violent Speech
Aur kro bjp bjp desh ko barbad karke rakh diye salo neğŸ˜¢ğŸ˜¢ğŸ˜¢,Hate Speech,Political Hate
Abhi bhi waqt hai...aankhe khol lo,Normal Text,None
Aisa nahi karna chahiye wrestler ke sath galat baat ğŸ˜ğŸ˜,Normal Text,None
"""Modi hai toh mumkin hai""",Hate Speech,Political Hate
"He bhagwan, ye kaise din dekhne pad rhe hain, jo Desh ke liye medal laya, ushke saath ye bartab ğŸ˜¢.. Shame on our democracy and government ğŸ˜¢",Hate Speech,Religious Hate
Ye champion apne village me hi hai....Desh ke baki state se inki match Hui nahi hai...,Normal Text,None
Ghor kalyug aa gya hai lekin kuch log andhbakht bane baithe hai,Normal Text,None
Ye dhekho jinpe Desh ko gaurv tha aajj enke sath kya Kiya ja Raha hai mtlb ki crime karne vala political party ka hai to vo kisi bhi crime ki kar sakta hai or uske khilaf jane vale koi bhi unhe esi tarah gasit ke leke jayenge es medal ğŸ… lane vale ke sath kya Kiya ja Raha hai esi tarah Raha to koi bhi medal lane se pahale ye sochakr hi rh jayega ki Desh ke liye medal lane vale ke sath kya hota haiğŸ¥ºğŸ˜¥,Normal Text,None
"Jisko arrest karna usse darathi hai 
Kamjor ke saath aaisa hi hota hai",Normal Text,None
24 me rajshahi khatam karni pdegi,Normal Text,None
Na sportsman na farmers na middle class na business men except adani kisi ko toh modi samaj nhi aaraha lekin bhakto ko aaraha haiğŸ˜‚ğŸ˜‚,Hate Speech,Political Hate
"Desh k liye ye sharmindgi ki baat hai bahut hi takleef ho rhi hai ye drishya dekh kar jo hmare desh ki shan hai unse aaj badtameezi ki ja rhi hai , dhikkar hai aisi system par jo aaj ye din dekhna pada , 
I'm full support for my dear Wrestlers love you always",Hate Speech,Violent Speech
"It's not  good
Sarkar ko iski bharpai karni padegi",Hate Speech,Political Hate
kuch ghatiya log abhi bhi bjp or feku modi ko defend kar rhe hain... shame on you,Hate Speech,Political Hate
Wrestlers with their medals made India proud. With one word modi could made their protest stopped voluntarily but why to drag those matters in public oh ho the ministry is at fault. How come a common man could protest for the injustice.,Hate Speech,Political Hate
Bsdwalo jo desh ke liye medal layi hai unki to respect kar lo agar sharam ho to ğŸ˜¡,Normal Text,None
Yaar ab kyu koyi aage ake nahi bolta ? Ya tabhi bolte hai jab ye Jeet ya haar kar aate haiğŸ˜¡,Normal Text,None
"Well u all here blaming govt but go search  before bkaming why they r protesting they r againt rule they just want to take that rule back if u all dknt belive go and check out sakshi malik statment of taking rules back  , what is the rule the rule is every player has to give trial before participating in national and international match but they all want privileges that we dont wanna give trials we want direct nomination. So pls dont be fool friends. That was the reason why only wrestlers from haryana were getting opportunities not other states.",Hate Speech,Gender-Based Hate
When u vote chaiwala u get such nuisances..,Normal Text,None
Bahut galat ho Gaya hai,Normal Text,None
@Subhranil Das chal behen k lode sale randi k aulad it cell wala tere ghar p roz aata hai kya,Normal Text,None
"Jab baat ansuni ki jaati hai.... to vo baat to bigad hi jaati hai bhai. Bhagwan ne bhi kaha h jab jab janha janha naari ka apmaan hoga vo raajkaaj, vo satta vo parivaar sabka patan hoga.",Hate Speech,Religious Hate
"Raja ko baithaya hai gaddi pr toh raja wali karwahi hi milegi ğŸ™‚
Shame on these stupid and  illiterate politicians!",Normal Text,None
"Dallon ki auladon, Apni mummy pe lagao jaa k posco act kehna ki brijbhushan ne pela hai, kyuki bacchi to baalik thi, jiska farzi certificate daala gaya fir me, 
Aur woh bhi kya kaan me gandi baat boli ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚
Saalon goo toh ghulami kaa khaate hi ho, lekin kaan aur aankh me bhi daal liya hai
Thoo hai tum logon pe ab jaao aur jaao aur kyuki kuch toh bolna hi hai toh yahi bolna ki bhai tumhari mummy ko pela hai brijbhushan istifa do. ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚",Normal Text,None
Modi ji apne criminal netaoo ke sath hamesha karde hai.,Hate Speech,Political Hate
"Dont blame police 
Wi bhi bandhe hai upar se,agr wo nhi krenge to unki job jaegi",Normal Text,None
Ye sab na doglapan hai,Normal Text,None
Karman hits  back something.. these people destroyed many youngster carrier... ..  who are working as daily wager.. becoz of these .. and cant do anything in life..,Normal Text,None
Downfall shuru ho rha hai country ka ğŸ˜¢ğŸ˜¢,Normal Text,None
"Lagegi aag to aayenge ghar kai zad ne, yahan pe sirf humara makaan thode hai!!",Hate Speech,Violent Speech
420 BJP sarakar,Hate Speech,Political Hate
"Ye wrestlers h inko khud saram nhee h beech sadak pe bhutiya khel dikha rhe h , udhar virat trophy k liye ready kar rha team ko ğŸ˜‚",Normal Text,None
Kya ho Raha hai Desh mein ğŸ˜­ğŸ˜­,Normal Text,None
Tabi to khte hai hum punjab wale we hate modi,Hate Speech,Political Hate
Not going to vote for bjp if matter is not solved,Hate Speech,Political Hate
Olympic me har ke aate h ...or apni mn ki krnenki sochte h,Normal Text,None
"@Jayant kumar Mishra kya bolti band Bhai? Tumhari beheno ko raste par kisne Aisa behaviour dikhaya toh how would you feel? U want them to protest lifetime to a blind government? They brought proud to ur country.. Atleast treat them how they deserve.. supporting a local gangster while treating badly a woman? Jahan pe tumhe insaaf nhi milta, wahan pe seer tapkne se kuchh ni hoga..ek rape case solve hone ko iss mulk me saalo lag jaate he, sabut hone ke baad bhi... iss Desh me farmers ki sarkar nhi sunti..toh unka kya khaak sunegi? Innocent have always crushed under the feet of the fraud politics of this people.. Andhbhakt mat bano..Aur Haan apni baat rakhnaa buri baat nhi he par kisiko badtameezi dikhana.. bohot buri baat hee..toh behtar hoga aap sabse tehjeeb se baat karein... every thing has a way to be done and has its limits..so don't cross it..",Hate Speech,Caste-Based Hate
@NAM JESUS ğŸ’œ aur mere comment ka reply do..kya hua ab??bolti band ab?? Logic se baat karo.,Normal Text,None
"@NAM JESUS ğŸ’œ abe ch utiye, dont judge me..tere jaisd chu tiya bas judge krna janta hain. Main kissi party ko support nai krta hu",Normal Text,None
@Jayant kumar Mishra Tum pehle tameez sikhlo aur mujhse badtameezi se baat karna band Karo..I will support whoever I want...this is a open comment section..mujhe Jo  likhna he woh mein likhungi..I felt what happened to those girls was wrong and I stated my opinion about it... I'm not a bandwagon like u..Agar tum bjp ki andhbhakt ho toh apni bakwas aur kahin pe Karo.. I'm a independent citizen and I know what I should do.. so don't shout at me and better admit urself in some schools and get proper moral education..,Hate Speech,Political Hate
Haan be kya bola tha tune? Dekh le aaj ka news..kya hua...sabne case wapas le liya...chu tiya...ab bol..ab bolti q band hai?jab rape hua hai rab case wapas q liya?? Itna kya drama kr rhe yelog,Normal Text,None
I m happy shai hua.. in kirae ke tattu unke upar Sahi baje lathi. Good job police...ğŸ‘,Normal Text,None
Humse kya matlab hume to Mandir chahiyeğŸ˜‚,Hate Speech,Religious Hate
I support bjp....jo unhone ache kam kiye bs unke liye.... But hmare desh ke jo wrestler hmara proud h unke sath bahut galat ho raha hai.... Or galat to galat hota h..... Chahe koi bhi party kre ğŸ™,Hate Speech,Political Hate
Ye anjam bjp ko bhari padega 2024ke election me hamare players bad saluki kar rahe hai. bjp wale suno ye karnama pura bharat dekh raha hai,Hate Speech,Political Hate
A sab accha nahi hai Desh ke liye,Normal Text,None
Bhai andha h kanun andhe h satta chalane wale kinse jya ummed lagana galat ho toh sabhi public ek sath ho jao sab sudhar jaye gein,Normal Text,None
Uss neta ko ander ko ander karo na kitne sare case hai uspe jo power yaha dikha rhi hai police uske pass dikhaye,Normal Text,None
"You need to follow the rules, it does not matter you are celebs or normal civilians, Rules are equal to everyone, police men and women were doing their job, so don't blame them. Wrestlers were using there muscle power so police women used their muscle power too. Wrestlers forced police to do so.",Normal Text,None
"To iss tarah sarkar hmari betiyo ko bcha rhi h..
#RIP govt.",Hate Speech,Political Hate
Insaf milna chaiye #WRESTLER PROTEST,Normal Text,None
Kya ho gaya Hamare desh ko hum Maniushya Kitna gir chuke h paisa itna important h?,Hate Speech,Violent Speech
Ye jo log comment mai rokar dikha rhe h inme se adhe log bhi agr vha par support mai pahuch jate to mai manta. Ghar par bethkar democracy ka rona rote rahna bas ..........,Normal Text,None
Kabhi usko sharam aayi hai??ğŸ˜‚,Normal Text,None
Bhai aisa he h....jbb elections honge tbb boht acha bann jayenge aur inka hak de denge dekhna,Normal Text,None
Bjp nai haad pr kardi hai abğŸ˜¢,Hate Speech,Political Hate
Ajeeb Hain hum Hindunstani..Desh bechne walon ko Neta bana dete Hain..aur desh ki ijjat rakhne walon k Sath aisa salook karte hain..,Hate Speech,Religious Hate
Phle kisan phir jawan aaj phalwan aur kro modi modi tera baap aur bhagwan h na andbhkt gor gabesh bss ek din media aur police pila jaye modi h to mumkin h phir dekhenge tmko krte modi modi,Hate Speech,Religious Hate
Jai hind the goverment is blind in kiladiyo ne apna pura jivan des ke liya lagaye h aur inke sath annya ho raha h aisi sarkar ke hone ya nahone ka koi matalb nahi?,Hate Speech,Political Hate
Doob k mar jye aisi govt shram name di koi chjjj nhi rhi kya tha hamara desh kya bna Diya zalim govt ne chiiiiiiii aisi govt p,Hate Speech,Violent Speech
Bada hi kamjor democracy hey . constitution sirf garibo ke liye hey ye article me add karna chahiye tha,Normal Text,None
"Abbey aao na godi media, bhakton ab....bharatiya hone ke naate khoon nahi kholta kya tumhara.",Hate Speech,Violent Speech
Mar jao salo tum hamesha hi aaisa hota sale ghus khor neta aaram se AC me rahte hai or hamare desh ka nam Roshan krne vale Khiladi kaho or sipai kaho inke sat ye sab hota hai bahen ke lavdo mar jao chullu bhar pani me dub ke koi jarurat nh hai aaise kanun or minister ki bc sale ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¤,Hate Speech,Violent Speech
This is called democracy.... Wah !BJP Sarkar... Wah! Modiji,Hate Speech,Political Hate
Acche din aa gye India mai kaha hain modi godi kerne wale,Hate Speech,Political Hate
Ye kya ho raha hain..It's shameful ğŸ˜¢,Normal Text,None
"India@75 since it's a male dominated society.... And sarcastically democracy is by the people for the people... But somewhere we have lost by the people... It is by the so called elites..... 
It's better to win a medal this time.... and ask the world.. To give u their citizenship and then say what happened with u and what happens in your country...... We often say hmare yahan to aisa nhi hota... I would say... Hmara yahan to aisa he hota rha hai.. Or aisa he ho rha hai or hoga bhi..... They are not concerned about this.. Bcz it is not happening with any politicians son or daughter.. This is we.. The people.. Not the person",Hate Speech,Violent Speech
In benchodo ne andolon ko dhandha bana rakkha hai ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜ ğŸ˜  jisko bhi kuch karva ho sidha andolan karte hai madarchod ğŸ˜ ğŸ˜ ğŸ˜ ğŸ˜¡ hatao sab desh virodhiyo ko dalle ğŸ˜ ğŸ˜ ğŸ˜ ,Hate Speech,Abusive/Profane Speech
"Whoever wrong in this matter comes later . But I'm really very sad to see our athletes are not behaving like grown ups and the people in power are quite.

Why so much chaos?",Normal Text,None
Beti behen beta bhai boleh jab medal laye par jab insaf mange tou bash unke awaz dawaneh meh kosis ishi bharat kehliyeh pata nae kitno neh apni janh deh di par sachaiii meh bash rang hi badla hai abhi b wohin hai haar jaga sachaiii seh durr,Normal Text,None
Akhand bharat bn raha .......ye to humesha ka hai aawaj uthao ya sawal pooch lo ya iljaam lga do ....bjp ke kuch mahan netao ki jal jati hai,Hate Speech,Political Hate
Yeh sahi nahi ho raha he!,Normal Text,None
"Tanashai chal rahi hain,aaj dar and hatred ka mahol create ho gaya hain",Normal Text,None
"Misinformation is unbelievably dangerous.

Do you not know that Delhi police is under the control of central government?

Do you not know that brij bushan is a BJP'S important MLA or somehow did he became a member of AAP..?

I am not supporting any party but just stating the facts.

Now tell me what can Kejriwal do?",Hate Speech,Political Hate
Baat to sahi hai,Normal Text,None
"Mere desh basiyo Kaya jat ke khun ki koi keemat nhi, he Mahadev maf karna itna apman nhi Saha ja raha",Normal Text,None
Fark kya reh gya india or pakistan mein abğŸ˜¢.news chanels abhi bhi pm ke khilaf kuch nhi dikha rhe,Normal Text,None
jail mey dalo salo ko.champion banke masti chadi hai mc bc ko bsdk,Normal Text,None
Insab ko ajj kal ka hi din mila tha,Normal Text,None
"Same Congress ne kiya thaa aur Desh ke youth ne delhi mein protest krke Congress ko wipe out kr diya,acha hoga Modi ji jaag jaye aur inse bhi milkr situation ko thek kre.",Hate Speech,Political Hate
Court Mai case chalu hai ğŸ˜’,Normal Text,None
Maja hi a gaya dekhkar,Normal Text,None
Or Kahan hair Modi ?,Hate Speech,Political Hate
Kya andhbhakt abhi bhi apni aankh se patti nhi hatayenge?,Hate Speech,Political Hate
